Sr.,US ID,Role,User Story,MoSCoW,Risk (Impl.),Dependency,Story Points,Priority,Acceptance Criteria
1,US-01,Borrower,"As a borrower, I want to register an account so that I can create a secure account.",Must,Medium,-,5,Highest,"- User can register using mobile number or email
- System sends an OTP to verify the entered mobile number or email
- User must enter the correct OTP within the valid time to continue
- System shows an error if the OTP is incorrect or expired
- System blocks registration if the mobile number or email is already in use
- User's password must meet the minimum security requirements
- Account is created only after successful OTP verification"
2,US-02,Borrower,"As a borrower, I want to reset my password so that I can regain access to my account.",Must,Low,US-01,2,High,"- User can request a password reset from the login screen
- System sends an OTP to the registered mobile number or email
- User must enter the correct OTP to proceed with the reset
- System shows an error if the OTP is incorrect or expired
- User can set a new password that meets the minimum security requirements
- User is logged out of all other active sessions after a successful reset"
3,US-03,Borrower,"As a borrower, I want to complete my KYC so that my identity can be verified.",Must,High,US-01,13,Highest,"- User can complete KYC by entering Aadhaar number, PAN number, and uploading required documents
- User must upload address proof and income proof as part of KYC
- User must complete a liveness selfie check as part of KYC
- System shows an error if any required KYC field or document is missing
- KYC is marked as submitted only once all required details and documents are provided
- Uploaded documents are securely stored and only accessible to the user and authorised staff"
4,US-04,Borrower,"As a borrower, I want to track the status of my KYC submission so that I know whether my documents have been verified, are pending review, or have been rejected.",Must,Low,US-03,2,High,"- User can view their current KYC status at any time
- KYC status clearly shows whether it is Not Started, In Progress, Submitted, Verified, or Rejected
- Status updates automatically when an officer reviews the KYC documents
- User does not need to refresh or relaunch the app to see the latest status
- If rejected, user can see which specific document caused the rejection"
5,US-05,Borrower,"As a borrower, I want to resubmit specific KYC documents that were rejected so that I can correct my submission and continue the verification process.",Must,Medium,"US-03, US-27",5,High,"- User can view which specific KYC documents were rejected
- User can re-upload only the rejected documents, not the entire KYC
- System replaces the old rejected document with the newly uploaded one
- Resubmitted documents are sent back to the officer for review
- KYC status updates automatically once all rejected documents are resubmitted"
6,US-06,Borrower,"As a borrower, I want to use the EMI calculator to estimate my monthly payment for any loan amount, tenure, and interest rate so that I can make an informed decision before applying.",Must,Low,-,3,Highest,"- User can access the EMI calculator without logging in
- User can enter any loan amount, tenure, and interest rate
- System calculates and displays the EMI based on the entered values
- System shows the total interest payable and total repayment amount
- EMI updates instantly whenever the user changes any input value"
7,US-07,Borrower,"As a borrower, I want to apply for a new loan so that I can initiate a loan request.",Must,High,"US-03, US-06, US-65",13,Highest,"- User can select a loan type before starting the application
- User can enter the desired loan amount and tenure within the allowed limits
- User can preview the EMI before submitting the application
- User must upload all required documents based on the selected loan type
- System blocks submission if KYC is not completed
- System blocks submission if any required document is missing
- A unique application number is generated once the application is submitted
- User cannot edit the loan amount or tenure after submission"
8,US-08,Borrower,"As a borrower, I want to track my loan application status in real time so that I always know where my application stands.",Must,Medium,US-07,8,High,"- User can view the current status of their loan application at any time
- Status clearly shows the stage — Submitted, Under Review, Approved, Disbursed, or Rejected
- Status updates automatically without the user needing to refresh the app
- User can tap on a past stage to see when it was reached"
9,US-09,Borrower,"As a borrower, I want to upload additional documents so that I can provide missing information and allow my application to continue processing.",Must,Low,US-27,3,High,"- User can upload additional documents only when requested by the loan officer
- System only accepts supported file formats (e.g. PDF, JPG, PNG)
- System shows an error if the file size exceeds the allowed limit
- Officer is notified once the requested document is uploaded
- Application moves forward once all requested documents are submitted"
10,US-10,Borrower,"As a borrower, I want to view the reason my loan application was rejected so that I understand the decision and know what to address before reapplying.",Must,Low,"US-46, US-32",2,High,"- User can view the reason their loan application was rejected
- Rejection reason is shown exactly as entered by the officer or manager
- This screen is only visible if the application status is Rejected
- User can start a new loan application directly from this screen"
11,US-11,Borrower,"As a borrower, I want to review and respond to remarks when my application is sent back for revision so that I can address the officer's concerns.",Must,Medium,US-47,3,Medium,"- User can view the manager's remarks when an application is sent back for revision
- User can respond to the remarks and/or re-upload the relevant documents
- User can resubmit the application after addressing the remarks
- Application moves back to the loan officer's queue after resubmission"
12,US-12,Borrower,"As a borrower, I want to view my active loan details so that I have full visibility into my current loan.",Must,Low,US-55,5,High,"- User can view their active loan details including disbursement date and amount
- User can view the outstanding principal and interest amount
- User can view the current interest rate applied to the loan
- All loan details shown are read-only and cannot be edited by the user"
13,US-13,Borrower,"As a borrower, I want to view my full EMI details so that I can plan my repayments effectively.",Must,Low,US-55,3,High,"- User can view the complete EMI schedule for their loan
- Each EMI entry shows the due date, amount, and principal/interest breakdown
- Each EMI is clearly marked as Paid, Upcoming, or Overdue
- Overdue EMIs show any applicable penalty amount"
14,US-14,Borrower,"As a borrower, I want to pay my EMI so that I can settle my repayments securely.",Must,High,US-13,8,Highest,"- User can pay an EMI directly through the app
- User can choose to pay via UPI, card, or netbanking
- System shows the exact EMI amount, including any penalty, before payment
- User receives a confirmation once the payment is successfully completed
- System shows a clear status if the payment is still being processed
- EMI status updates to Paid automatically after a successful payment
- Loan status updates to Closed if this was the final EMI"
15,US-15,Borrower,"As a borrower, I want to view my complete payment history so that I can track every repayment.",Must,Low,US-14,3,High,"- User can view their complete payment history
- Each entry shows the date, amount, payment mode, and reference number
- Cash payments and online payments are both shown in the same list
- User can scroll through past payments without performance issues"
16,US-16,Borrower,"As a borrower, I want to download my sanction letter and loan agreement so that I have official documentation of my loan approval and terms.",Must,Medium,US-34,3,High,"- User can download the sanction letter once the loan is approved
- User can download the loan agreement once the loan is disbursed
- Both documents are downloaded as PDF files
- System shows an error if the document is not yet available"
17,US-17,Borrower,"As a borrower, I want to send and receive in-app messages with my assigned loan officer about my application so that all communication is documented in one place.",Should,Low,US-36,3,Medium,"- User can send and receive messages with their assigned loan officer
- Messages are linked to the specific loan application
- User receives a notification when the officer replies
- User can view the full message history for that application at any time"
18,US-18,Borrower,"As a borrower, I want to receive push notifications for all key loan events so that I never miss a critical update about my loan.",Must,Medium,US-08,5,High,"- User receives push notifications for key events such as OTP, KYC status, application updates, and EMI reminders
- User receives a notification when an EMI is due soon and when an EMI is overdue
- User receives a notification when a payment is confirmed
- Tapping a notification takes the user directly to the relevant screen
- All notifications are also available to view inside the app's notification list"
19,US-19,Borrower,"As a borrower, I want to view and update my profile information so that my account details remain accurate.",Should,Low,US-01,2,Low,"- User can update their name, phone number, and address
- System sends an OTP to verify any change to the phone number
- Updated information is saved immediately after confirmation
- System shows an error if the update fails"
20,US-20,Borrower,"As a borrower, I want to view a repayment dashboard showing my upcoming EMI due date, total outstanding balance, overdue amount if any, and a quick Pay button so that I can see my repayment health at a glance and act immediately.",Must,High,"US-14, US-13",8,High,"- User can view their next EMI due date and total outstanding balance in one place
- User can view the overdue amount, if any, on the same screen
- A Pay button is shown when an EMI is due or overdue
- Tapping Pay takes the user directly into the payment flow for that EMI"
21,US-21,Borrower,"As a borrower, I want to view my credit score and the bureau it was sourced from so that I can understand my creditworthiness.",Should,Medium,US-19,3,Low,"- User can view their current credit score
- User can view which credit bureau the score was sourced from
- System shows a clear message if no credit score is available yet
- Credit score is shown as read-only and cannot be edited by the user"
22,US-22,Loan Officer,"As a loan officer, I want to log in to the app so that I can access my assigned loan processing functions.",Must,Medium,-,3,Highest,"- Officer can log in using their employee credentials
- System grants access only to the features and data permitted for the loan officer role
- System shows an error for incorrect login credentials
- Officer is logged out automatically after a defined period of inactivity"
23,US-23,Loan Officer,"As a loan officer, I want to see all my assigned loan applications in a dashboard so that I can identify which ones need action.",Must,Medium,US-07,5,High,"- Officer can view all loan applications assigned to them in one dashboard
- Applications needing action are clearly highlighted
- Officer can see the applicant name, loan type, amount, and status at a glance
- Dashboard updates automatically when a new application is assigned"
24,US-24,Loan Officer,"As a loan officer, I want to view the full detail of a loan application so that I can assess all borrower information.",Must,Medium,US-23,5,High,"- Officer can open any assigned application to view its full details
- Officer can view the applicant's information, requested amount, and purpose
- Officer can view and open all documents uploaded for the application
- All borrower-submitted information is shown as read-only"
